date,power,name
2023-01-05,14471.291666666666,NL
2023-01-06,13125.8125,NL
2023-01-07,12527.135416666666,NL
2023-01-08,14970.885416666666,NL
2023-01-09,15078.895833333334,NL
2023-01-10,14945.854166666666,NL
2023-01-11,14875.052083333334,NL
2023-01-12,14901.979166666666,NL
2023-01-13,13275.552083333334,NL
2023-01-14,12492.21875,NL
2023-01-15,15089.625,NL
2023-01-16,15009.083333333334,NL
2023-01-17,15118.229166666666,NL
2023-01-18,14974.03125,NL
2023-01-19,14773.697916666666,NL
2023-01-20,13433.072916666666,NL
2023-01-21,12559.270833333334,NL
2023-01-22,14721.010416666666,NL
2023-01-23,14820.135416666666,NL
2023-01-24,14782.90625,NL
2023-01-25,14882.208333333334,NL
2023-01-26,14794.40625,NL
2023-01-27,13203.270833333334,NL
2023-01-28,12404.416666666666,NL
2023-01-29,14776.177083333334,NL
2023-01-30,14760.520833333334,NL
2023-01-31,15083.958333333334,NL
2023-02-01,14947.791666666666,NL
2023-02-02,14787.697916666666,NL
2023-02-03,13362.989583333334,NL
2023-02-04,12618.791666666666,NL
2023-02-05,14799.322916666666,NL
2023-02-06,14916.458333333334,NL
2023-02-07,14821.59375,NL
2023-02-08,14929.21875,NL
2023-02-09,15085.03125,NL
2023-02-10,13171.864583333334,NL
2023-02-11,12459.947916666666,NL
2023-02-12,14304.229166666666,NL
2023-02-13,14335.0,NL
2023-02-14,14554.729166666666,NL
2023-02-15,15038.75,NL
2023-02-16,14247.010416666666,NL
2023-02-17,12792.135416666666,NL
2023-02-18,11993.604166666666,NL
2023-02-19,14759.125,NL
2023-02-20,14799.020833333334,NL
2023-02-21,14483.260416666666,NL
2023-02-22,14461.135416666666,NL
2023-02-23,14394.510416666666,NL
2023-02-24,12854.135416666666,NL
2023-02-25,12141.28125,NL
2023-02-26,14584.989583333334,NL
2023-02-27,14737.90625,NL
2023-02-28,15043.614583333334,NL
2023-03-01,15205.833333333334,NL
2023-03-02,15051.916666666666,NL
2023-03-03,13322.125,NL
2023-03-04,12069.739583333334,NL
2023-03-05,13832.1875,NL
2023-03-06,14096.177083333334,NL
2023-03-07,14300.302083333334,NL
2023-03-08,14519.354166666666,NL
2023-03-09,13962.020833333334,NL
2023-03-10,12349.510416666666,NL
2023-03-11,11726.041666666666,NL
2023-03-12,13617.052083333334,NL
2023-03-13,14347.84375,NL
2023-03-14,13724.3125,NL
2023-03-15,14003.8125,NL
2023-03-16,14622.4375,NL
2023-03-17,13307.833333333334,NL
2023-03-18,12293.302083333334,NL
2023-03-19,13975.083333333334,NL
2023-03-20,13876.229166666666,NL
2023-03-21,14064.96875,NL
2023-03-22,14273.5625,NL
2023-03-23,14082.114583333334,NL
2023-03-24,12150.802083333334,NL
2023-03-25,11394.333333333334,NL
2023-03-26,13506.5625,NL
2023-03-27,13893.375,NL
2023-03-28,14333.3125,NL
2023-03-29,13582.864583333334,NL
2023-03-30,13112.6875,NL
2023-03-31,11675.177083333334,NL
2023-04-01,11113.416666666666,NL
2023-04-02,11425.666666666666,NL
2023-04-03,13118.322916666666,NL
2023-04-04,13456.010416666666,NL
2023-04-05,13456.208333333334,NL
2023-04-06,12775.03125,NL
2023-04-07,11116.979166666666,NL
2023-04-08,10616.322916666666,NL
2023-04-09,13005.25,NL
2023-04-10,12916.677083333334,NL
2023-04-11,13223.614583333334,NL
2023-04-12,13441.0,NL
2023-04-13,13129.447916666666,NL
2023-04-14,11489.65625,NL
2023-04-15,10969.09375,NL
2023-04-16,12695.760416666666,NL
2023-04-17,12740.697916666666,NL
2023-04-18,12777.989583333334,NL
2023-04-19,13048.322916666666,NL
2023-04-20,12907.916666666666,NL
2023-04-21,10958.458333333334,NL
2023-04-22,10578.25,NL
2023-04-23,12631.09375,NL
2023-04-24,13067.260416666666,NL
2023-04-25,12957.739583333334,NL
2023-04-26,12778.208333333334,NL
2023-04-27,10955.177083333334,NL
2023-04-28,11331.177083333334,NL
2023-04-29,11105.822916666666,NL
2023-04-30,13373.791666666666,NL
2023-05-01,12947.770833333334,NL
2023-05-02,12571.375,NL
2023-05-03,12591.458333333334,NL
2023-05-04,12342.927083333334,NL
2023-05-05,10788.53125,NL
2023-05-06,10242.15625,NL
2023-05-07,12543.958333333334,NL
2023-05-08,12804.822916666666,NL
2023-05-09,12704.239583333334,NL
2023-05-10,10987.0625,NL
2023-05-11,11552.53125,NL
2023-05-12,10982.927083333334,NL
2023-05-13,10766.958333333334,NL
2023-05-14,12628.8125,NL
2023-05-15,12724.052083333334,NL
2023-05-16,12914.270833333334,NL
2023-05-17,12531.0625,NL
2023-05-18,12596.802083333334,NL
2023-05-19,11399.104166666666,NL
2023-05-20,9950.895833333334,NL
2023-05-21,10551.041666666666,NL
2023-05-22,12959.072916666666,NL
2023-05-23,13129.958333333334,NL
2023-05-24,13176.864583333334,NL
2023-05-25,13146.385416666666,NL
2023-05-26,11360.822916666666,NL
2023-05-27,10957.1875,NL
2023-05-28,13198.958333333334,NL
2023-05-29,13685.239583333334,NL
2023-05-30,13380.635416666666,NL
2023-05-31,13597.822916666666,NL
2023-06-01,13382.1875,NL
2023-06-02,11576.114583333334,NL
2023-06-03,10557.90625,NL
2023-06-04,12944.15625,NL
2023-06-05,12839.729166666666,NL
2023-06-06,12818.520833333334,NL
2023-06-07,13274.041666666666,NL
2023-06-08,13404.145833333334,NL
2023-06-09,11263.739583333334,NL
2023-06-10,10599.072916666666,NL
2023-06-11,12603.083333333334,NL
2023-06-12,12959.510416666666,NL
2023-06-13,12727.552083333334,NL
2023-06-14,12991.760416666666,NL
2023-06-15,12651.447916666666,NL
2023-06-16,11052.145833333334,NL
2023-06-17,10609.697916666666,NL
2023-06-18,13027.40625,NL
2023-06-19,13258.302083333334,NL
2023-06-20,13050.197916666666,NL
2023-06-21,12753.645833333334,NL
2023-06-22,12755.802083333334,NL
2023-06-23,11010.322916666666,NL
2023-06-24,10522.385416666666,NL
2023-06-25,12590.510416666666,NL
2023-06-26,12539.4375,NL
2023-06-27,12853.28125,NL
2023-06-28,13151.583333333334,NL
2023-06-29,12909.010416666666,NL
2023-06-30,11295.927083333334,NL
2023-07-01,10564.09375,NL
2023-07-02,12892.1875,NL
2023-07-03,13140.229166666666,NL
2023-07-04,13271.885416666666,NL
2023-07-05,13245.53125,NL
2023-07-06,13217.020833333334,NL
2023-07-07,11286.1875,NL
2023-07-08,10593.822916666666,NL
2023-07-09,13259.84375,NL
2023-07-10,13239.083333333334,NL
2023-07-11,13095.90625,NL
2023-07-12,13062.53125,NL
2023-07-13,12888.395833333334,NL
2023-07-14,11125.552083333334,NL
2023-07-15,10590.03125,NL
2023-07-16,13106.885416666666,NL
2023-07-17,13198.197916666666,NL
2023-07-18,13132.708333333334,NL
2023-07-19,13136.03125,NL
2023-07-20,12774.760416666666,NL
2023-07-21,11133.15625,NL
2023-07-22,10644.145833333334,NL
2023-07-23,12983.166666666666,NL
2023-07-24,13439.020833333334,NL
2023-07-25,13664.395833333334,NL
2023-07-26,13814.59375,NL
2023-07-27,13570.28125,NL
2023-07-28,11673.677083333334,NL
2023-07-29,10742.5625,NL
2023-07-30,13010.822916666666,NL
2023-07-31,12926.395833333334,NL
2023-08-01,12771.34375,NL
2023-08-02,12988.729166666666,NL
2023-08-03,12883.010416666666,NL
2023-08-04,11478.479166666666,NL
2023-08-05,10628.166666666666,NL
2023-08-06,12728.53125,NL
2023-08-07,13187.947916666666,NL
2023-08-08,13111.135416666666,NL
2023-08-09,12850.177083333334,NL
2023-08-10,12212.197916666666,NL
2023-08-11,10681.541666666666,NL
2023-08-12,10470.333333333334,NL
2023-08-13,12794.822916666666,NL
2023-08-14,12662.864583333334,NL
2023-08-15,12948.229166666666,NL
2023-08-16,12872.3125,NL
2023-08-17,12537.947916666666,NL
2023-08-18,11205.15625,NL
2023-08-19,10789.8125,NL
2023-08-20,13119.46875,NL
2023-08-21,13199.572916666666,NL
2023-08-22,13168.3125,NL
2023-08-23,13419.416666666666,NL
2023-08-24,12694.322916666666,NL
2023-08-25,11206.1875,NL
2023-08-26,10491.052083333334,NL
2023-08-27,12993.135416666666,NL
2023-08-28,13096.083333333334,NL
2023-08-29,13347.822916666666,NL
2023-08-30,12824.625,NL
2023-08-31,12713.833333333334,NL
2023-09-01,10940.802083333334,NL
2023-09-02,10412.614583333334,NL
2023-09-03,13300.5,NL
2023-09-04,13607.1875,NL
2023-09-05,13720.020833333334,NL
2023-09-06,13785.104166666666,NL
2023-09-07,12980.020833333334,NL
2023-09-08,11503.854166666666,NL
2023-09-09,10941.583333333334,NL
2023-09-10,13366.854166666666,NL
2023-09-11,13509.895833333334,NL
2023-09-12,13663.729166666666,NL
2023-09-13,13001.708333333334,NL
2023-09-14,13067.833333333334,NL
2023-09-15,11461.916666666666,NL
2023-09-16,10876.739583333334,NL
2023-09-17,13005.697916666666,NL
2023-09-18,13179.03125,NL
2023-09-19,13388.322916666666,NL
2023-09-20,13409.1875,NL
2023-09-21,13187.333333333334,NL
2023-09-22,11795.958333333334,NL
2023-09-23,11643.114583333334,NL
2023-09-24,13132.125,NL
2023-09-25,13104.71875,NL
2023-09-26,13117.03125,NL
2023-09-27,13008.5625,NL
2023-09-28,13061.895833333334,NL
2023-09-29,11211.864583333334,NL
2023-09-30,10747.260416666666,NL
2023-10-01,13108.25,NL
2023-10-02,13612.885416666666,NL
2023-10-03,13235.25,NL
2023-10-04,13595.979166666666,NL
2023-10-05,12992.854166666666,NL
2023-10-06,11430.166666666666,NL
2023-10-07,10863.895833333334,NL
2023-10-08,13207.916666666666,NL
2023-10-09,13151.052083333334,NL
2023-10-10,13254.645833333334,NL
2023-10-11,13505.3125,NL
2023-10-12,13365.03125,NL
2023-10-13,11676.65625,NL
2023-10-14,11068.416666666666,NL
2023-10-15,13363.197916666666,NL
